Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base
HitachiSKHDIP,Not still documented,Hitachi,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
HitachiSKHDSerial,Not still documented,Hitachi,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
HitachiSKUHDIP,Not still documented,Hitachi,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
HitachiSKUHDSerial,Not still documented,Hitachi,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
Ikegami,Not still documented,Ikegami,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
V2KMini,Not still documented,IOI,C-Mount,https://www.ioindustries.com/2ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
V2KMiniRS,Not still documented,IOI,C-Mount,https://www.ioindustries.com/2ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
V4KMini,Not still documented,IOI,C-Mount,https://www.ioindustries.com/4ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
V4KMiniRS,Not still documented,IOI,C-Mount,https://www.ioindustries.com/4ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
V8KSDI,Not still documented,IOI,C-Mount,https://www.ioindustries.com/8ksdi-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
JVC,JVC IP,JVC,No-Xchange-Motorized,https://fr.jvc.com/pro/ccr/eng/GY-HM850RE/,,Handheld Camcorder,JVC USB-to-IP,https://support.cyanview.com/docs/Integrations/JVC/JVCCamcorder,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
Lumens,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
LumensVCA71PN,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
LumensVCBC601P,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
LumensVCBC701P,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MarshallCV225,Marshall Breakout,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV225-MB.php,,Minicam,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed
